id,Title,Price,Year,Mileage,Fuel_Type,Horsepower,Transmission,Page,Link
1,Suzuki Cultus 2016 EURO II for Sale,PKR 17 lacs,2016,"96,508 km",Petrol,1000 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-cultus-2016-for-sale-in-lahore-9315589
2,Toyota Corolla 2020 Altis Automatic 1.6 for Sale,PKR 48 lacs,2020,"81,303 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-lahore-9315562
3,Honda Vezel 2018 Hybrid Z Honda Sensing for Sale,PKR 73.35 lacs,2018,"30,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-vezel-2018-for-sale-in-lahore-9045047
4,KIA Picanto 2020 1.0 AT for Sale,PKR 32 lacs,2020,"142,132 km",Petrol,1000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/kia-picanto-2020-for-sale-in-lahore-9254188
5,Toyota Corolla 2019 GLi Automatic 1.3 VVTi for Sale,PKR 45 lacs,2019,"82,114 km",Petrol,1300 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-9261323
6,Honda Civic 2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 54 lacs,2018,"67,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-9315648
7,Suzuki Mehran 2006 VXR for Sale,PKR 6.49 lacs,2006,"95,000 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-mehran-2006-for-sale-in-lahore-9272255
8,Daihatsu Boon 2019 Cilq for Sale,PKR 38.5 lacs,2019,"66,216 km",Petrol,1000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/daihatsu-boon-2019-for-sale-in-lahore-9189989
9,Toyota Prius 2011 S 1.8 for Sale,PKR 40 lacs,2011,"94,994 km",Hybrid,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-lahore-9175264
10,KIA Sportage 2020 AWD for Sale,PKR 67.5 lacs,2020,"86,000 km",Petrol,2000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-lahore-9315586
11,KIA Sportage 2020 AWD for Sale,PKR 68.5 lacs,2020,"67,000 km",Petrol,2000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-lahore-9315571
12,Honda Civic 2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 61.5 lacs,2021,"45,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-9315548
13,Haval H6 2024 1.5T for Sale,PKR 96 lacs,2024,"2,200 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/haval-h6-2024-for-sale-in-lahore-9315759
14,Daihatsu Cuore 2008 for Sale,PKR 9.5 lacs,2008,"232,065 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/daihatsu-cuore-2008-for-sale-in-lahore-9315752
15,Mercedes Benz E Class 4th (W212) Generation 2012 E200 for Sale,PKR 1.1 crore,2012,"140,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2012-for-sale-in-lahore-9315738
16,Toyota Corolla 2015 Altis Automatic 1.6 for Sale,PKR 42 lacs,2015,"150,571 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-lahore-9315576
17,DFSK Glory 580 2021 Pro for Sale,PKR 48.9 lacs,2021,"58,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-9176414
18,United Bravo 2019 Base Grade for Sale,PKR 8.6 lacs,2019,"44,650 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/united-bravo-2019-for-sale-in-lahore-9283805
19,Suzuki Bolan 2017 VX Euro II for Sale,PKR 1.19 lacs,2017,"70,000 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-bolan-2017-for-sale-in-lahore-9315680
20,KIA Picanto 2020 1.0 AT for Sale,PKR 24 lacs,2020,"70,000 km",Petrol,1000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/kia-picanto-2020-for-sale-in-lahore-9312959
21,Suzuki Mehran 2018 VXR Euro II for Sale,PKR 12.5 lacs,2018,"50,000 km",Petrol,796 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-lahore-9315665
22,Daihatsu Cuore 2007 CX Eco for Sale,PKR 10.5 lacs,2007,"114,000 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/daihatsu-cuore-2007-for-sale-in-lahore-9315642
23,Suzuki Bolan 2015 for Sale,PKR 7.2 lacs,2015,"90,000 km",Petrol,800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-bolan-2015-for-sale-in-lahore-9315634
24,Honda Civic Reborn 2007 VTi 1.8 i-VTEC for Sale,PKR 18.25 lacs,2007,1 km,Petrol,1800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-lahore-8972475
25,Mitsubishi Lancer 2006 GLX 1.3 for Sale,PKR 16.5 lacs,2006,"280,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2006-for-sale-in-lahore-9315613
26,Honda Civic 2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 26.8 lacs,2012,"123,500 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-lahore-9300046
27,KIA Rio 2020 for Sale,PKR 44 lacs,2020,"40,000 km",Petrol,1000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/kia-rio-2020-for-sale-in-lahore-9178567
28,Honda Civic 2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 63.5 lacs,2021,"36,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-9315518
29,Toyota Vitz 2009 F 1.0 for Sale,PKR 21.25 lacs,2009,"100,000 km",Petrol,1000 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-vitz-2009-for-sale-in-lahore-9145954
30,Toyota Passo 2015 X L Package for Sale,PKR 28 lacs,2015,"132,000 km",Petrol,1000 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-passo-2015-for-sale-in-lahore-9315344
31,Toyota Prado 2018 TX Limited 2.7 for Sale,PKR 2.6 crore,2018,"57,572 km",Petrol,2700 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-prado-2018-for-sale-in-lahore-9107094
32,Toyota Corolla 2013 XLi VVTi for Sale,PKR 37 lacs,2013,"35,840 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-lahore-9270255
33,Suzuki Cultus 2016 Limited Edition for Sale,PKR 18.75 lacs,2016,"32,666 km",Petrol,1000 cc,Manual,page 2,https://www.pakwheels.com/used-cars/suzuki-cultus-2016-for-sale-in-lahore-9269060
34,Honda N Wgn 2014 G for Sale,PKR 24.5 lacs,2014,"132,000 km",Petrol,660 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-n-wgn-2014-for-sale-in-lahore-9315460
35,Toyota Corolla 2016 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 48 lacs,2016,"97,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-lahore-9315448
36,Suzuki Alto 2016 TURBO RS for Sale,PKR 29.5 lacs,2016,"103,000 km",Petrol,660 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/suzuki-alto-2016-for-sale-in-lahore-9315439
37,Toyota Hilux 2015 Revo G 2.8 for Sale,PKR 1.05 crore,2015,"88,000 km",Diesel,2800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-hilux-2015-for-sale-in-lahore-9315437
38,Suzuki Mehran 2004 VX for Sale,PKR 6.5 lacs,2004,"81,797 km",Petrol,800 cc,Manual,page 2,https://www.pakwheels.com/used-cars/suzuki-mehran-2004-for-sale-in-lahore-9315170
39,Honda City 2018 1.3 i-VTEC Prosmatec for Sale,PKR 36.5 lacs,2018,"88,000 km",Petrol,1300 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-9315431
40,Nissan Otti 2009 Rider for Sale,PKR 17.75 lacs,2009,"170,500 km",Petrol,660 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/nissan-otti-2009-for-sale-in-lahore-9315585
41,Hyundai Santro 2003 Club for Sale,PKR 10.15 lacs,2003,"61,000 km",Petrol,1000 cc,Manual,page 2,https://www.pakwheels.com/used-cars/hyundai-santro-2003-for-sale-in-lahore-9315574
42,KIA Sportage 2020 AWD for Sale,PKR 68.5 lacs,2020,"67,000 km",Petrol,2000 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-lahore-9315571
43,Suzuki Alto 2011 ECO-S for Sale,PKR 20 lacs,2011,"152,000 km",Petrol,660 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-lahore-9315567
44,Honda Civic 2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 61.5 lacs,2021,"45,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-9315548
45,Suzuki Cultus 2006 VXR for Sale,PKR 9.35 lacs,2006,"53,700 km",Petrol,1000 cc,Manual,page 2,https://www.pakwheels.com/used-cars/suzuki-cultus-2006-for-sale-in-lahore-9315531
46,Honda City 2016 1.3 i-VTEC for Sale,PKR 30 lacs,2016,"79,600 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-lahore-9311801
47,Suzuki Khyber 1996 for Sale,PKR 5.85 lacs,1996,1 km,Petrol,1000 cc,Manual,page 2,https://www.pakwheels.com/used-cars/suzuki-khyber-1996-for-sale-in-lahore-9315504
48,Toyota Corolla 2004 for Sale,PKR 19.5 lacs,2004,"75,000 km",Petrol,1500 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2004-for-sale-in-lahore-9188747
49,Audi A5 2009 1.8 TFSI for Sale,PKR 80 lacs,2009,"114,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/audi-a5-2009-for-sale-in-lahore-9315483
50,Nissan Serena 2018 HIGHWAY STAR for Sale,PKR 70 lacs,2018,"19,000 km",Hybrid,1200 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/nissan-serena-2018-for-sale-in-lahore-8098120
51,Toyota Corolla 2015 Altis 1.8 for Sale,PKR 31 lacs,2015,"150,000 km",Petrol,1800 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-lahore-9315470
52,Audi e-tron GT 2022 Standard for Sale,Call,2022,"19,000 km",Electric,934.0 kWh,Automatic,page 2,https://www.pakwheels.com/used-cars/audi-e-tron-gt-2022-for-sale-in-lahore-9173597
53,Toyota Land Cruiser 2016 ZX for Sale,Call,2016,"50,000 km",Petrol,4600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2016-for-sale-in-lahore-9208096
54,Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 35.75 lacs,2018,"65,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-9315455
55,Suzuki Cultus 2012 VXRi (CNG) for Sale,PKR 12.95 lacs,2012,"94,000 km",Petrol,1000 cc,Manual,page 2,https://www.pakwheels.com/used-cars/suzuki-cultus-2012-for-sale-in-lahore-9315446
56,Daihatsu Cuore 2008 CX Eco for Sale,PKR 9.7 lacs,2008,"180,000 km",Petrol,800 cc,Manual,page 2,https://www.pakwheels.com/used-cars/daihatsu-cuore-2008-for-sale-in-lahore-9315441
57,Daihatsu Mira 2018 G SA III for Sale,PKR 31 lacs,2018,"87,551 km",Petrol,660 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/daihatsu-mira-2018-for-sale-in-lahore-9295599
58,Suzuki Alto 2021 VXR for Sale,PKR 22.85 lacs,2021,"43,500 km",Petrol,660 cc,Manual,page 3,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-lahore-9308383
59,Toyota Corolla 2016 Altis Automatic 1.6 for Sale,PKR 48.5 lacs,2016,"66,000 km",Petrol,1600 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-lahore-9315393
60,Toyota Yaris 2020 ATIV X CVT 1.5 for Sale,PKR 44.5 lacs,2020,"56,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-yaris-2020-for-sale-in-lahore-9288335
61,Toyota Corolla 2017 Altis Grande CVT-i 1.8 for Sale,PKR 47.5 lacs,2017,"72,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-9315382
62,Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 73.5 lacs,2023,"29,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2023-for-sale-in-lahore-9315373
63,Toyota Hilux 2021 Revo V Automatic 2.8 for Sale,PKR 1.23 crore,2021,"42,000 km",Diesel,2800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-lahore-9315365
64,Suzuki Mehran 2017 VX Euro II for Sale,PKR 13.7 lacs,2017,"44,000 km",Petrol,800 cc,Manual,page 3,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-lahore-9277981
65,Suzuki Alto 2023 VXR for Sale,PKR 26 lacs,2023,"16,420 km",Petrol,660 cc,Manual,page 3,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-lahore-9315243
66,Toyota Yaris 2021 ATIV X CVT 1.5 for Sale,PKR 46 lacs,2021,"38,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-lahore-9315249
67,FAW V2 2017 VCT-i for Sale,PKR 16.5 lacs,2017,"121,060 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/faw-v2-2017-for-sale-in-lahore-9147351
68,Suzuki Cultus 2014 EURO II for Sale,PKR 15.75 lacs,2014,"89,000 km",Petrol,1000 cc,Manual,page 3,https://www.pakwheels.com/used-cars/suzuki-cultus-2014-for-sale-in-lahore-9315188
69,Daihatsu Cuore 2008 CX Eco for Sale,PKR 9.7 lacs,2008,"180,000 km",Petrol,800 cc,Manual,page 3,https://www.pakwheels.com/used-cars/daihatsu-cuore-2008-for-sale-in-lahore-9315441
70,Suzuki Alto 2016 TURBO RS for Sale,PKR 29.5 lacs,2016,"103,000 km",Petrol,660 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/suzuki-alto-2016-for-sale-in-lahore-9315439
71,Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,PKR 36 lacs,2018,"62,000 km",Petrol,1300 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-9315436
72,Toyota Hilux 2015 Revo G 2.8 for Sale,PKR 1.05 crore,2015,"88,000 km",Diesel,2800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-hilux-2015-for-sale-in-lahore-9315437
73,Suzuki Mehran 2004 VX for Sale,PKR 6.5 lacs,2004,"81,797 km",Petrol,800 cc,Manual,page 3,https://www.pakwheels.com/used-cars/suzuki-mehran-2004-for-sale-in-lahore-9315170
74,Honda City 2018 1.3 i-VTEC Prosmatec for Sale,PKR 36.5 lacs,2018,"88,000 km",Petrol,1300 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-9315431
75,Prince Pearl 2021 MT for Sale,PKR 12.75 lacs,2021,"9,000 km",Petrol,800 cc,Manual,page 3,https://www.pakwheels.com/used-cars/prince-pearl-2021-for-sale-in-lahore-9315430
76,Hyundai Santro 2004 Club for Sale,PKR 9 lacs,2004,"200,000 km",Petrol,1000 cc,Manual,page 3,https://www.pakwheels.com/used-cars/hyundai-santro-2004-for-sale-in-lahore-9076370
77,Hyundai Tucson 2021 FWD A/T GLS Sport for Sale,PKR 72 lacs,2021,"114,000 km",Petrol,2000 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/hyundai-tucson-2021-for-sale-in-lahore-9315346
78,Honda Civic Reborn 2006 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 18.85 lacs,2006,786 km,Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2006-for-sale-in-lahore-9315415
79,Suzuki Alto 2022 VXR for Sale,PKR 25.25 lacs,2022,"24,000 km",Petrol,660 cc,Manual,page 3,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-9315414
80,Honda Vezel 2015 Hybrid Z for Sale,PKR 52.7 lacs,2015,"87,300 km",Hybrid,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-lahore-9197162
81,Honda BR-V 2021 i-VTEC S for Sale,PKR 50.5 lacs,2021,"52,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-br-v-2021-for-sale-in-lahore-9315404
82,Honda City 2004 i-DSI Vario for Sale,PKR 16 lacs,2004,,,,,page 3,https://www.pakwheels.com/used-cars/honda-city-2004-for-sale-in-lahore-9315398
83,,,,,,,,page 3,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-9315353
84,,,,,,,,page 3,https://www.pakwheels.com/used-cars/suzuki-mehran-2005-for-sale-in-lahore-9315371
85,,,,,,,,page 3,https://www.pakwheels.com/used-cars/honda-fit-2018-for-sale-in-lahore-9315351
86,,,,,,,,page 3,https://www.pakwheels.com/used-cars/proton-saga-2021-for-sale-in-lahore-9268121
87,Suzuki Alto 2022 VX for Sale,PKR 24.45 lacs,2022,"13,000 km",Petrol,660 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-8612259
88,Toyota Corolla 2017 Altis Grande CVT-i 1.8 for Sale,PKR 45.85 lacs,2017,"139,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-9281273
89,Toyota Vitz 2018 F 1.0 for Sale,PKR 38.45 lacs,2018,"67,000 km",Petrol,996 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-vitz-2018-for-sale-in-lahore-9300338
90,Suzuki Hustler 2014 X for Sale,PKR 23.5 lacs,2014,"161,500 km",Petrol,660 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/suzuki-hustler-2014-for-sale-in-lahore-9296338
91,Honda Freed 2013 for Sale,PKR 36.5 lacs,2013,"132,000 km",Hybrid,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-freed-2013-for-sale-in-lahore-9305538
92,Hyundai Elantra 2021 GLS for Sale,PKR 57.65 lacs,2021,"47,000 km",Petrol,2000 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/hyundai-elantra-2021-for-sale-in-lahore-9309695
93,Hyundai Santro 2003 Exec for Sale,PKR 10 lacs,2003,"145,622 km",Petrol,1000 cc,Manual,page 4,https://www.pakwheels.com/used-cars/hyundai-santro-2003-for-sale-in-lahore-9311581
94,Hyundai Tucson 2022 FWD A/T GLS Sport for Sale,PKR 75 lacs,2022,"33,000 km",Petrol,2000 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-lahore-9186838
95,Honda Vezel 2014 Hybrid X L Package for Sale,PKR 45 lacs,2014,"119,985 km",Hybrid,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-vezel-2014-for-sale-in-lahore-9310834
96,Suzuki Swift 2021 DLX Automatic 1.3 Navigation for Sale,PKR 31.85 lacs,2021,"59,000 km",Petrol,1300 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/suzuki-swift-2021-for-sale-in-lahore-9314956
97,Honda City 2018 1.3 i-VTEC Prosmatec for Sale,PKR 34.5 lacs,2018,"106,000 km",Petrol,1300 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-9266288
98,Honda Civic 2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 48 lacs,2016,"93,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-9014237
99,Honda Civic 2016 Turbo 1.5 VTEC CVT for Sale,PKR 48 lacs,2016,13 km,Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-9315337
100,Toyota Corolla 2019 Altis Automatic 1.6 for Sale,PKR 47.8 lacs,2019,"66,000 km",Petrol,1600 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-9315132
101,Suzuki Mehran 2009 VXR for Sale,PKR 6.8 lacs,2009,"76,000 km",Petrol,800 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-mehran-2009-for-sale-in-lahore-9315312
102,Honda CR-V 2012 G Leather Package 2.4 for Sale,PKR 55 lacs,2012,"185,000 km",Petrol,2400 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-cr-v-2012-for-sale-in-lahore-9315299
103,Suzuki Mehran 2015 VXR Euro II for Sale,PKR 10.8 lacs,2015,"90,100 km",Petrol,796 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-lahore-9315298
104,Suzuki Alto 2021 VX for Sale,PKR 23.5 lacs,2021,"46,000 km",Petrol,660 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-lahore-9315296
105,Suzuki Cultus 2007 VXLi for Sale,PKR 11 lacs,2007,"118,600 km",Petrol,1000 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-cultus-2007-for-sale-in-lahore-9315292
106,Suzuki Mehran 2017 VX Euro II for Sale,PKR 13.7 lacs,2017,"44,000 km",Petrol,800 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-lahore-9277981
107,Suzuki Alto 2014 E for Sale,PKR 22.9 lacs,2014,"112,500 km",Petrol,660 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-lahore-9315279
108,Suzuki Mehran 2015 VXR Euro II for Sale,PKR 12.95 lacs,2015,"87,700 km",Petrol,796 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-mehran-2015-for-sale-in-lahore-9315276
109,Toyota Surf 2003 SSR-G 2.7 for Sale,PKR 65 lacs,2003,"123,480 km",Petrol,2700 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-surf-2003-for-sale-in-lahore-9124049
110,Suzuki Alto 2023 VXR for Sale,PKR 26 lacs,2023,"16,420 km",Petrol,660 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-lahore-9315243
111,Toyota Yaris 2021 ATIV X CVT 1.5 for Sale,PKR 46 lacs,2021,"38,000 km",Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-lahore-9315249
112,Honda Civic 2001 VTi 1.6 for Sale,PKR 17 lacs,2001,"149,000 km",Petrol,1600 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-civic-2001-for-sale-in-lahore-9315248
113,KIA Sportage 2023 AWD for Sale,PKR 80 lacs,2023,"21,000 km",Petrol,2000 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/kia-sportage-2023-for-sale-in-lahore-9315244
114,FAW V2 2017 VCT-i for Sale,PKR 16.5 lacs,2017,"121,060 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/faw-v2-2017-for-sale-in-lahore-9147351
115,Suzuki Swift 2020 DLX 1.3 Navigation for Sale,PKR 28.85 lacs,2020,"68,000 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-swift-2020-for-sale-in-lahore-9315217
116,Toyota Vitz 2012 for Sale,PKR 28 lacs,2012,"190,000 km",Petrol,1000 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-vitz-2012-for-sale-in-lahore-8995983
117,Suzuki Cultus 2014 EURO II for Sale,PKR 15.75 lacs,2014,"89,000 km",Petrol,1000 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-cultus-2014-for-sale-in-lahore-9315188
118,Suzuki Cultus 2014 EURO II for Sale,PKR 15 lacs,2014,"50,000 km",Petrol,1000 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-cultus-2014-for-sale-in-lahore-9315213
119,Suzuki Alto 2021 VXR for Sale,PKR 23.8 lacs,2021,"59,000 km",Petrol,660 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-lahore-9315212
120,Honda Civic 2006 VTi 1.8 i-VTEC for Sale,PKR 18.9 lacs,2006,"200,000 km",Petrol,1800 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-civic-2006-for-sale-in-lahore-9315209
121,Daihatsu Mira 2020 LSA 3 for Sale,PKR 30.5 lacs,2020,"12,714 km",Petrol,660 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/daihatsu-mira-2020-for-sale-in-lahore-9102331
122,Honda Civic 2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 48 lacs,2016,"92,500 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-9314819
123,Honda Civic 2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 45 lacs,2016,"85,784 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-9307401
124,Suzuki Cultus 2002 VXR for Sale,PKR 6.75 lacs,2002,"77,000 km",Petrol,1000 cc,Manual,page 5,https://www.pakwheels.com/used-cars/suzuki-cultus-2002-for-sale-in-lahore-9314744
125,Toyota Yaris Hatchback 2020 G 1.0 for Sale,PKR 47 lacs,2020,"35,949 km",Petrol,996 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-lahore-9314418
126,Honda Insight 2018 Touring for Sale,PKR 95 lacs,2018,"47,447 km",Hybrid,1500 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-insight-2018-for-sale-in-lahore-9313865
127,Honda City 5th (GM2) Generation 2016 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 33.7 lacs,2016,"150,000 km",Petrol,1500 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-lahore-9306903
128,Honda City 2019 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 42 lacs,2019,"129,000 km",Petrol,1500 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-lahore-9307241
