id,Title,Price,Year,Mileage,Fuel_Type,Horsepower,Transmission,Page,Link
5514,Honda Civic 2022 RS for Sale,PKR 86.5 lacs,2022,"32,000 km",Petrol,1500 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-lahore-9287545
5515,Suzuki Swift 2023 GL Manual for Sale,PKR 40.5 lacs,2023,"8,000 km",Petrol,1200 cc,Manual,page 159,https://www.pakwheels.com/used-cars/suzuki-swift-2023-for-sale-in-lahore-9287538
5516,Honda Civic 2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 57 lacs,2020,"50,000 km",Petrol,1800 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-9287524
5517,KIA Sportage 2021 FWD for Sale,PKR 72 lacs,2021,"39,000 km",Petrol,2000 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-9287523
5518,Toyota Corolla 2018 Altis Grande CVT-i 1.8 for Sale,PKR 50 lacs,2018,"109,505 km",Petrol,1800 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-lahore-9287143
5519,Toyota Vitz 2017 for Sale,PKR 38.4 lacs,2017,"57,000 km",Petrol,1000 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/toyota-vitz-2017-for-sale-in-lahore-9169919
5520,Toyota Corolla 2013 GLi 1.3 VVTi for Sale,PKR 26 lacs,2013,"158,000 km",Petrol,1300 cc,Manual,page 159,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-lahore-9276920
5521,KIA Sorento 2024 2.4 FWD for Sale,PKR 1.02 crore,2024,"2,700 km",Petrol,2400 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/kia-sorento-2024-for-sale-in-lahore-9287465
5522,Toyota Corolla 2010 XLi VVTi for Sale,PKR 22 lacs,2010,"152,000 km",Petrol,1300 cc,Manual,page 159,https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-lahore-9287467
5523,Honda City 5th (GM2) Generation 2014 1.3 i-VTEC Prosmatec for Sale,PKR 29 lacs,2014,"180,000 km",Petrol,1300 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-lahore-9287444
5524,MG HS 2021 for Sale,PKR 64 lacs,2021,"28,000 km",Petrol,1500 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-9287432
5525,Hyundai Elantra 2023 GLS for Sale,PKR 71 lacs,2023,"17,000 km",Petrol,2000 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/hyundai-elantra-2023-for-sale-in-lahore-9287430
5526,Suzuki Mehran 2018 VXR Euro II for Sale,PKR 13.2 lacs,2018,"69,000 km",Petrol,800 cc,Manual,page 159,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-lahore-9287401
5527,Toyota Corolla 2009 XLi VVTi for Sale,PKR 23.55 lacs,2009,"165,000 km",Petrol,1300 cc,Manual,page 159,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-lahore-9257086
5528,Honda City 2003 i-DSI for Sale,PKR 16.25 lacs,2003,"316,000 km",Petrol,1300 cc,Manual,page 159,https://www.pakwheels.com/used-cars/honda-city-2003-for-sale-in-lahore-9287426
5529,Hyundai Elantra 2022 GLS for Sale,PKR 65.5 lacs,2022,"29,600 km",Petrol,2000 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/hyundai-elantra-2022-for-sale-in-lahore-9268275
5530,Suzuki Alto 2007 G for Sale,PKR 15.5 lacs,2007,"120,000 km",Petrol,660 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/suzuki-alto-2007-for-sale-in-lahore-9287408
5531,Honda Civic 2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 35 lacs,2012,"152,000 km",Petrol,1800 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-lahore-9249484
5532,MG HS 2021 Trophy for Sale,PKR 65 lacs,2021,"60,000 km",Petrol,1500 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-9227370
5533,Toyota Prius 2011 L 1.8 for Sale,PKR 38.25 lacs,2011,"146,000 km",Hybrid,1800 cc,Automatic,page 159,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-lahore-9287356
5534,Toyota Yaris 2020 ATIV CVT 1.3 for Sale,PKR 40.5 lacs,2020,"45,000 km",Petrol,1300 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/toyota-yaris-2020-for-sale-in-lahore-9287346
5535,Suzuki Alto 2022 VXR for Sale,PKR 24.95 lacs,2022,"43,000 km",Petrol,660 cc,Manual,page 160,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-9287125
5536,Changan Alsvin 2022 1.5L DCT Comfort for Sale,PKR 37.2 lacs,2022,"20,000 km",Petrol,1500 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-lahore-9287324
5537,Honda Civic 2016 Turbo 1.5 VTEC CVT for Sale,PKR 50.5 lacs,2016,"115,000 km",Petrol,1500 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-9110633
5538,Honda City 2005 i-DSI for Sale,PKR 16.75 lacs,2005,"115,245 km",Petrol,1300 cc,Manual,page 160,https://www.pakwheels.com/used-cars/honda-city-2005-for-sale-in-lahore-9287306
5539,Suzuki Hustler 2020 G Turbo for Sale,PKR 40 lacs,2020,"45,804 km",Petrol,660 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/suzuki-hustler-2020-for-sale-in-lahore-9276619
5540,Mercedes Benz C Class 2006 C180 for Sale,PKR 38 lacs,2006,"164,318 km",Petrol,1800 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2006-for-sale-in-lahore-9287093
5541,Toyota Corolla 2019 GLi Automatic 1.3 VVTi for Sale,PKR 45 lacs,2019,"77,000 km",Petrol,1300 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-8955051
5542,Honda Civic Eagle Eye 2006 EXi Prosmatec for Sale,PKR 16.5 lacs,2006,"116,000 km",Petrol,1500 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/honda-civic-2006-for-sale-in-lahore-9287171
5543,Honda Civic 2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 60.5 lacs,2020,"90,000 km",Petrol,1800 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-9226136
5544,Suzuki Alto 2010 VXR for Sale,PKR 10.75 lacs,2010,"123,456 km",Petrol,1000 cc,Manual,page 160,https://www.pakwheels.com/used-cars/suzuki-alto-2010-for-sale-in-lahore-9284368
5545,Toyota Prius 2010 G Touring Selection Leather Package 1.8 for Sale,PKR 40 lacs,2010,"116,000 km",Hybrid,1800 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/toyota-prius-2010-for-sale-in-lahore-9287137
5546,Nissan Dayz 2013 X for Sale,PKR 23.5 lacs,2013,"120,000 km",Petrol,660 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/nissan-dayz-2013-for-sale-in-lahore-9287126
5547,Suzuki Cultus 2018 VXL for Sale,PKR 25.75 lacs,2018,"72,000 km",Petrol,1000 cc,Manual,page 160,https://www.pakwheels.com/used-cars/suzuki-cultus-2018-for-sale-in-lahore-9167734
5548,Toyota Yaris 2022 ATIV CVT 1.3 for Sale,PKR 44 lacs,2022,"22,000 km",Petrol,1300 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/toyota-yaris-2022-for-sale-in-lahore-9282476
5549,Honda City 2007 VTEC Steermatic for Sale,PKR 19.5 lacs,2007,"123,456 km",Petrol,1500 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/honda-city-2007-for-sale-in-lahore-9285506
5550,Suzuki Bolan 1990 VX for Sale,PKR 3.6 lacs,1990,"509,999 km",Petrol,800 cc,Manual,page 160,https://www.pakwheels.com/used-cars/suzuki-bolan-1990-for-sale-in-lahore-9287068
5551,Toyota Fortuner 2018 2.7 VVTi for Sale,PKR 1.21 crore,2018,"49,000 km",Petrol,2700 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/toyota-fortuner-2018-for-sale-in-lahore-9287059
5552,Honda City 5th (GM2) Generation 2017 1.3 i-VTEC for Sale,PKR 30.5 lacs,2017,"95,000 km",Petrol,1300 cc,Manual,page 160,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-lahore-9278775
5553,Suzuki Liana 2008 for Sale,PKR 13 lacs,2008,"246,000 km",Petrol,1300 cc,Manual,page 160,https://www.pakwheels.com/used-cars/suzuki-liana-2008-for-sale-in-lahore-9287004
5554,Toyota Corolla 2009 GLi 1.3 VVTi for Sale,PKR 26 lacs,2009,"135,000 km",Petrol,1300 cc,Manual,page 160,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-lahore-9287015
